Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,
10/17/2019 10:07:29 PM,56,PAU,32:05:25.374,00:00:10.001,1,1,A123_2p5Ah_ageing_90k_case,3.4448,0.0000,23.6187,0.0000,0.0000,0.0000,
10/17/2019 10:07:39 PM,56,PAU,32:05:35.384,00:00:20.011,1,1,A123_2p5Ah_ageing_90k_case,3.4444,0.0000,23.5118,0.0000,0.0000,0.0000,
10/17/2019 10:07:49 PM,56,PAU,32:05:45.379,00:00:30.006,1,1,A123_2p5Ah_ageing_90k_case,3.4443,0.0000,23.6187,0.0000,0.0000,0.0000,
10/17/2019 10:07:59 PM,56,PAU,32:05:55.385,00:00:40.012,1,1,A123_2p5Ah_ageing_90k_case,3.4439,0.0000,23.6187,0.0000,0.0000,0.0000,
10/17/2019 10:08:09 PM,56,PAU,32:06:05.380,00:00:50.007,1,1,A123_2p5Ah_ageing_90k_case,3.4438,0.0000,23.6187,0.0000,0.0000,0.0000,
10/17/2019 10:08:19 PM,56,PAU,32:06:15.376,00:01:00.003,1,1,A123_2p5Ah_ageing_90k_case,3.4434,0.0000,23.6187,0.0000,0.0000,0.0000,
10/17/2019 10:08:19 PM,56,PAU,32:06:15.376,00:01:00.003,1,1,A123_2p5Ah_ageing_90k_case,3.4434,0.0000,23.6187,0.0000,0.0000,0.0000,
10/17/2019 10:08:29 PM,57,DCH,32:06:25.388,00:00:10.004,1,1,A123_2p5Ah_ageing_90k_case,3.3631,-2.4998,23.5118,-0.0069,-0.0235,0.0000,
10/17/2019 10:08:39 PM,57,DCH,32:06:35.393,00:00:20.009,1,1,A123_2p5Ah_ageing_90k_case,3.3358,-2.4998,23.6187,-0.0139,-0.0468,0.0000,
10/17/2019 10:08:49 PM,57,DCH,32:06:45.388,00:00:30.004,1,1,A123_2p5Ah_ageing_90k_case,3.3189,-2.4998,23.6187,-0.0208,-0.0698,0.0000,
10/17/2019 10:08:59 PM,57,DCH,32:06:55.392,00:00:40.008,1,1,A123_2p5Ah_ageing_90k_case,3.3080,-2.4998,23.6187,-0.0278,-0.0929,0.0000,
10/17/2019 10:09:09 PM,57,DCH,32:07:05.387,00:00:50.003,1,1,A123_2p5Ah_ageing_90k_case,3.3006,-2.4972,23.5118,-0.0347,-0.1158,0.0000,
10/17/2019 10:09:19 PM,57,DCH,32:07:15.396,00:01:00.012,1,1,A123_2p5Ah_ageing_90k_case,3.2955,-2.4998,23.5118,-0.0417,-0.1387,0.0000,
